document_title,document_number,action,publication_date,pdf_url,abstract,excerpts,topics,dates,page_length,start_page,end_page,significant,agency_names,agency_ids,agency_urls,agency_parent_ids,agency_slugs,cfr_titles,cfr_parts
Meeting of the U.S. Naval Academy Board of Visitors,2024-26687,Notice of partially closed meeting.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26687.pdf,"The DoD is publishing this notice to announce that the following Federal Advisory Committee meeting of the U.S. Naval Academy Board of Visitors, hereafter ""Board,"" will take place.","The DoD is publishing this notice to announce that the following Federal Advisory Committee meeting of the U.S. Naval Academy Board of Visitors, hereafter ""Board,"" will take place.",,"Open to the public, December 2, 2024, from 9 a.m. to 11 a.m. eastern time zone (ET). Closed to the public, December 2, 2024, from 11 a.m. to noon (12 p.m.) ET.",2,90274,90275,,"Defense Department, Navy Department","103, 378","https://www.federalregister.gov/agencies/defense-department, https://www.federalregister.gov/agencies/navy-department","None, 103","defense-department, navy-department",,
Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Study of the Impact of English Learner Reclassification Policies,2024-26681,Notice.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26681.pdf,"In accordance with the Paperwork Reduction Act (PRA) of 1995, the Department is proposing a revision of a currently approved information collection request (ICR).","In accordance with the Paperwork Reduction Act (PRA) of 1995, the Department is proposing a revision of a currently approved information collection request (ICR).",,"Interested persons are invited to submit comments on or before December 16, 2024.",1,90276,90276,,Education Department,126,https://www.federalregister.gov/agencies/education-department,None,education-department,,
Proposed Information Collection Activity; OCSS-75 Tribal Child Support Services Annual Data Report (Office of Management and Budget #: 0970-0320),2024-26688,Request for public comments.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26688.pdf,"The Office of Child Support Services (OCSS), Administration for Children and Families (ACF), U.S. Department of Health and Human Services, is requesting a 3-year extension of the form OCSS-75-Tribal Child Support Services Annual Data Report (OMB # 0970-0320, expiration May 31, 2025). We are requesting minor changes to this form.","The Office of Child Support Services (OCSS), Administration for Children and Families (ACF), U.S. Department of Health and Human Services, is requesting a 3-year extension of the form OCSS-75-Tribal Child Support Services Annual Data Report (OMB #...",,"Comments due January 14, 2025. In compliance with the requirements of the Paperwork Reduction Act of 1995, ACF is soliciting public comment on the specific aspects of the information collection described above.",2,90293,90294,,"Health and Human Services Department, Children and Families Administration","221, 49","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/children-and-families-administration","None, 221","health-and-human-services-department, children-and-families-administration",,
Proposed Information Collection Activity; Child Care Improper Payments Data Collection Instructions (Office of Management and Budget #0970-0323),2024-26684,Request for public comments.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26684.pdf,"The Administration for Children and Families is proposing revisions to an approved information collection, the Child Care Improper Payments Data Collection Instructions (OMB #0970-0323, expiration 1/31/2025). In addition to the proposed changes, we are requesting a 3-year extension.","The Administration for Children and Families is proposing revisions to an approved information collection, the Child Care Improper Payments Data Collection Instructions (OMB #0970-0323, expiration 1/31/2025). In addition to the proposed changes, we are...",,"Comments due January 14, 2025. In compliance with the requirements of the Paperwork Reduction Act of 1995, ACF is soliciting public comment on the specific aspects of the information collection described above.",2,90294,90295,,"Health and Human Services Department, Children and Families Administration","221, 49","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/children-and-families-administration","None, 221","health-and-human-services-department, children-and-families-administration",,
Submission for Office of Management and Budget Review; Administration of Psychotropic Medication to Unaccompanied Children (New Collection),2024-26690,Request for public comments.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26690.pdf,"The Office of Refugee Resettlement (ORR), Administration for Children and Families (ACF), U.S. Department of Health and Human Services is inviting public comment on the proposed collection. The request consists of two forms that will allow the Unaccompanied Children (UC) Bureau to obtain informed consent from authorized consenters and informed assent or agreement from unaccompanied children for the administration of psychotropic medication.","The Office of Refugee Resettlement (ORR), Administration for Children and Families (ACF), U.S. Department of Health and Human Services is inviting public comment on the proposed collection. The request consists of two forms that will allow the...",,"Comments due December 16, 2024. The Office of Management and Budget (OMB) must make a decision about the collection of information between 30 and 60 days after publication of this document in the Federal Register. Therefore, a comment is best assured of having its full effect if OMB receives it within 30 days of publication.",2,90295,90296,,"Health and Human Services Department, Children and Families Administration","221, 49","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/children-and-families-administration","None, 221","health-and-human-services-department, children-and-families-administration",,
Government Owned Inventions Available for Licensing or Collaboration: Novel Kinase Inhibitory Aplithianines,2024-26663,Notice.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26663.pdf,"The National Cancer Institute (NCI), an institute of the National Institutes of Health (NIH), Department of Health and Human Services (HHS), is giving notice of the licensing and/or collaboration opportunities for the inventions listed below, which are owned by an agency of the U.S. Government and are available for licensing and/or collaboration to achieve expeditious commercialization of results of federally-funded research and development.","The National Cancer Institute (NCI), an institute of the National Institutes of Health (NIH), Department of Health and Human Services (HHS), is giving notice of the licensing and/or collaboration opportunities for the inventions listed below, which are...",,,3,90298,90300,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
National Center for Complementary & Integrative Health; Notice of Closed Meeting,2024-26562,,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26562.pdf,,,,"December 10, 2024",1,90300,90300,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
"Government Owned Inventions Available for Licensing or Collaboration: Improved Methods for Cryopreservation of Cells, Tissues, and Organs",2024-26661,Notice.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26661.pdf,"The National Eye Institute (NEI), an institute of the National Institutes of Health (NIH), Department of Health and Human Services (HHS), is giving notice of licensing and/or collaboration opportunities for the inventions listed below, which are owned by an agency of the U.S. Government and are available for licensing and/or collaboration to achieve expeditious commercialization of results of federally-funded research and development.","The National Eye Institute (NEI), an institute of the National Institutes of Health (NIH), Department of Health and Human Services (HHS), is giving notice of licensing and/or collaboration opportunities for the inventions listed below, which are owned...",,,2,90300,90301,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
Agency Information Collection Activities: Proposed Collection; Comment Request,2024-26641,,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26641.pdf,,,,,2,90301,90302,,"Health and Human Services Department, Substance Abuse and Mental Health Services Administration","221, 479","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/substance-abuse-and-mental-health-services-administration","None, 221","health-and-human-services-department, substance-abuse-and-mental-health-services-administration",,
Public Meeting of the National Geospatial Advisory Committee,2024-26651,Notice of public meeting.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26651.pdf,"In accordance with the Federal Advisory Committee Act (FACA) of 1972, the U.S. Geological Survey (USGS) is publishing this notice to announce that a Federal Advisory Committee meeting of the National Geospatial Advisory Committee (NGAC) will take place and is open to members of the public.","In accordance with the Federal Advisory Committee Act (FACA) of 1972, the U.S. Geological Survey (USGS) is publishing this notice to announce that a Federal Advisory Committee meeting of the National Geospatial Advisory Committee (NGAC) will take place...",,The following meetings will be held as a webinar:,2,90308,90309,,"Interior Department, Geological Survey","253, 212","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/geological-survey","None, 253","interior-department, geological-survey",,
"Notice of Availability of the Draft Resource Management Plan and Environmental Impact Statement for the Newcastle Field Office, Wyoming, and Nebraska Planning Area",2024-26665,Notice of availability.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26665.pdf,"In accordance with the National Environmental Policy Act of 1969, as amended (NEPA), and the Federal Land Policy and Management Act of 1976, as amended (FLMPA), the Bureau of Land Management (BLM) has prepared a Draft Resource Management Plan (RMP) and Draft Environmental Impact Statement (EIS) for the Newcastle Field Office and Nebraska Resource Management Plans (Newcastle and Nebraska RMPs) and by this notice is announcing the opening of the comment period on the Draft RMP/EIS and the BLM's proposed areas of critical environmental concern (ACECs).","In accordance with the National Environmental Policy Act of 1969, as amended (NEPA), and the Federal Land Policy and Management Act of 1976, as amended (FLMPA), the Bureau of Land Management (BLM) has prepared a Draft Resource Management Plan (RMP) and...",,This notice announces the opening of a 90-day comment period for the Draft RMP/EIS beginning with the date following the Environmental Protection Agency's (EPA) publication of its Notice of Availability (NOA) of the Draft RMP/EIS in the Federal Register. The EPA usually publishes its NOAs on Fridays.,2,90309,90310,,"Interior Department, Land Management Bureau","253, 275","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/land-management-bureau","None, 253","interior-department, land-management-bureau",,
Notice of Availability of the Proposed Resource Management Plan Amendment and Final Environmental Impact Statement for Greater Sage-Grouse Rangewide Planning,2024-26483,Notice of availability.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26483.pdf,"In compliance with the National Environmental Policy Act of 1969, as amended, and the Federal Land Policy and Management Act of 1976, as amended, the Bureau of Land Management (BLM) has prepared a Proposed Resource Management Plan Amendment (RMPA) and Final Environmental Impact Statement (EIS) for the Greater Sage-Grouse Rangewide Planning and by this notice is announcing the start of a 30- day protest period of the Proposed RMPA to the BLM Director.","In compliance with the National Environmental Policy Act of 1969, as amended, and the Federal Land Policy and Management Act of 1976, as amended, the Bureau of Land Management (BLM) has prepared a Proposed Resource Management Plan Amendment (RMPA) and...",,This notice announces the beginning of a 30-day protest period to the BLM on the Proposed RMPA. Protests must be postmarked or electronically submitted on the BLM's ePlanning site within 30 days of the date that the Environmental Protection Agency (EPA) publishes its Notice of Availability (NOA) in the Federal Register. The EPA usually publishes its NOAs on Fridays.,2,90311,90312,,"Interior Department, Land Management Bureau","253, 275","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/land-management-bureau","None, 253","interior-department, land-management-bureau",,
"Notice of Availability of the Draft Resource Management Plan Amendment and Environmental Impact Statement for the Purple Sage Energy Center Project in Clark County, NV",2024-26598,Notice of availability.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26598.pdf,"In compliance with the National Environmental Policy Act of 1969, as amended (NEPA), and the Federal Land Policy and Management Act of 1976, as amended (FLPMA), the Bureau of Land Management (BLM) has prepared a Draft Resource Management Plan (RMP) Amendment and Draft Environmental Impact Statement (EIS) for the Purple Sage Energy Center Project (Project) and by this notice is providing information announcing the opening of the comment period on the Draft RMP Amendment/EIS. The Purple Sage Energy Project was formerly known as the Golden Currant Solar Project.","In compliance with the National Environmental Policy Act of 1969, as amended (NEPA), and the Federal Land Policy and Management Act of 1976, as amended (FLPMA), the Bureau of Land Management (BLM) has prepared a Draft Resource Management Plan (RMP)...",,This notice announces the opening of a 90-day comment period for the Draft RMP Amendment/EIS beginning with the date following the Environmental Protection Agency's (EPA) publication of its Notice of Availability (NOA) in the Federal Register. The EPA usually publishes its NOAs on Fridays.,3,90312,90314,,"Interior Department, Land Management Bureau","253, 275","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/land-management-bureau","None, 253","interior-department, land-management-bureau",,
"Notice of Availability of the Final Environmental Impact Statement for the Jove Solar Project, La Paz County, Arizona",2024-26607,Notice of availability.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26607.pdf,"In compliance with the National Environmental Policy Act of 1969, as amended (NEPA), and the Federal Land Policy and Management Act of 1976, as amended (FLPMA), the Bureau of Land Management (BLM) announces the availability of the Final Environmental Impact Statement (EIS) for the Jove Solar Project.","In compliance with the National Environmental Policy Act of 1969, as amended (NEPA), and the Federal Land Policy and Management Act of 1976, as amended (FLPMA), the Bureau of Land Management (BLM) announces the availability of the Final Environmental...",,The BLM will not issue a decision on the proposal for a minimum of 30 days after the date that the Environmental Protection Agency (EPA) publishes its Notice of Availability (NOA) in the Federal Register. The EPA usually publishes its NOAs on Fridays.,2,90314,90315,,"Interior Department, Land Management Bureau","253, 275","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/land-management-bureau","None, 253","interior-department, land-management-bureau",,
National Register of Historic Places; Notification of Pending Nominations and Related Actions,2024-26653,Notice.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26653.pdf,"The National Park Service is soliciting electronic comments on the significance of properties nominated before November 2, 2024, for listing or related actions in the National Register of Historic Places.","The National Park Service is soliciting electronic comments on the significance of properties nominated before November 2, 2024, for listing or related actions in the National Register of Historic Places.",,"Comments should be submitted electronically by December 2, 2024.",2,90315,90316,,"Interior Department, National Park Service","253, 362","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/national-park-service","None, 253","interior-department, national-park-service",,
New Postal Products,2024-26632,Notice.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26632.pdf,"The Commission is noticing a recent Postal Service filing for the Commission's consideration concerning a negotiated service agreement. This notice informs the public of the filing, invites public comment, and takes other administrative steps.","The Commission is noticing a recent Postal Service filing for the Commission's consideration concerning a negotiated service agreement. This notice informs the public of the filing, invites public comment, and takes other administrative steps.",,"Comments are due: November 18, 2024.",3,90321,90323,,Postal Regulatory Commission,409,https://www.federalregister.gov/agencies/postal-regulatory-commission,None,postal-regulatory-commission,,
"Product Change-Priority Mail Express, Priority Mail, and USPS Ground Advantage® Negotiated Service Agreement",2024-26621,Notice.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26621.pdf,The Postal Service gives notice of filing a request with the Postal Regulatory Commission to add a domestic shipping services contract to the list of Negotiated Service Agreements in the Mail Classification Schedule's Competitive Products List.,The Postal Service gives notice of filing a request with the Postal Regulatory Commission to add a domestic shipping services contract to the list of Negotiated Service Agreements in the Mail Classification Schedule's Competitive Products List.,,"Date of required notice: November 15, 2024.",1,90325,90325,,Postal Service,410,https://www.federalregister.gov/agencies/postal-service,None,postal-service,,
Service Standards for Market-Dominant Mail Products,2024-26434,Proposed rule.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26434.pdf,"The United States Postal Service seeks public comment on proposed revisions to the service standards for certain market-dominant mail products. The Postal Service proposes to restructure the service standards, such that service standards for domestic First-Class Mail would retain the current day range of 1-5 days (as well as the current 0-1 days for USPS Connect[supreg] Local), while being calculated, with certain exceptions, as the sum of delivery days accruing across three successive operational legs reflecting end-to-end service from an originating 5-digit ZIP Code to a destinating 5-digit ZIP Code. The proposed rule would also partially adjust the service standards for end-to-end Periodicals, USPS Marketing Mail, and Package Services so that they would all be primarily based on the standards for First-Class Mail, consistent with the Postal Service's implementation of a more integrated network, thus continuing our efforts to eliminate our legacy network that, due to its poor design, has multiple, redundant network flows. In particular, the proposed service standards align with operational initiatives that the Postal Service plans to implement on a nationwide basis to fundamentally transform our processing and transportation networks to achieve greater operational precision and efficiency, significantly reduce costs, and enhance service pursuant to the Delivering for America strategic plan (""Plan""). The Postal Service is required by law to provide prompt, reliable, and efficient universal postal services in a financially self-sufficient manner, through an integrated network for the delivery of mail and packages at least six days a week. However, the Postal Service currently is not achieving the requirements of the statute, as we lack a network that enables the integrated movement of mail and packages in a precise, efficient, and cost-effective manner. The Postal Service network has not been appropriately adjusted to account for volume and mail mix changes, including the substantial decline in Single-Piece First-Class Mail and increase in package volume, leading to significant inefficiencies. These initiatives will comprehensively transform these operations to fix the problems that exist today and create a network that enables the integrated movement of mail and packages in a precise and cost-effective manner far into the future. These initiatives would lead to a net positive impact for First-Class Mail from a service standard perspective, and generally faster service for end-to-end USPS Marketing Mail, Periodicals, and Package Services. They will also lead to substantial cost savings (estimated at between $3.6 to $3.7 billion annually), which is critical given the Postal Service's current poor financial condition, which can be addressed only through comprehensive changes to reduce costs and increase efficiency (in conjunction with the other elements of the Plan). Further details of the proposed changes appear below.","The United States Postal Service seeks public comment on proposed revisions to the service standards for certain market-dominant mail products. The Postal Service proposes to restructure the service standards, such that service standards for domestic...","Administrative practice and procedure, Postal Service","Comments must be received on or before December 31, 2024.",9,90241,90249,,Postal Service,410,https://www.federalregister.gov/agencies/postal-service,None,postal-service,39,121
"Notice of Availability for a Final Environmental Impact Statement (EIS) and Floodplain Assessment and Statement of Findings for the Kenneth G. Ward (Lynden) and Sumas Land Ports of Entry (LPOE) Modernization and Expansion Projects in Lynden and Sumas, Washington",2024-26296,Notice of availability (NOA).,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26296.pdf,"This notice announces the availability of the Final Environmental Impact Statement (EIS), which examines potential environmental impacts from the modernization and expansion of the Lynden and Sumas LPOEs in Lynden and Sumas, Washington. The existing Lynden and Sumas LPOEs are owned and managed by GSA and operated by the U.S. Department of Homeland Security's Customs and Border Protection (CBP). The Final EIS describes the purpose and need for the project; alternatives considered; the existing environment that could be affected; the potential impacts resulting from each of the alternatives; and proposed best management practices and mitigation measures. The Final EIS also includes a Floodplain Assessment and Statement of Findings due to the construction in a floodplain at the Sumas LPOE. The Final EIS identifies the preferred alternatives, including the environmentally preferable alternatives, as summarized below (see the SUPPLEMENTARY INFORMATION section of this NOA).","This notice announces the availability of the Final Environmental Impact Statement (EIS), which examines potential environmental impacts from the modernization and expansion of the Lynden and Sumas LPOEs in Lynden and Sumas, Washington. The existing...",,"The Final EIS Wait Period begins with publication of this NOA in the Federal Register and will last until December 16, 2024. Any comments regarding the Final EIS must be received or postmarked by the last day of the 30-day Final EIS Wait Period (see the ADDRESSES section of this NOA on how to submit comments). After the Final EIS Wait Period, GSA will issue the Record of Decision (ROD).",2,90292,90293,,General Services Administration,210,https://www.federalregister.gov/agencies/general-services-administration,None,general-services-administration,,
"Van Pool Transportation LLC-Acquisition of Control-Butler's Bus Service, Inc.",2024-26686,Notice tentatively approving and authorizing finance transaction.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26686.pdf,"Van Pool Transportation LLC (Van Pool) and AG Van Pool Holdings, LP (AG Holdings) (collectively, Applicants), both noncarriers, filed an application to acquire control of an interstate passenger motor carrier, Butler's Bus Service, Inc. (BBS), from its shareholders, Bruce Lyskawa and Emo Chynoweth (Sellers). The Board is tentatively approving and authorizing the transaction. If no opposing comments are timely filed, this notice will be the final Board action.","Van Pool Transportation LLC (Van Pool) and AG Van Pool Holdings, LP (AG Holdings) (collectively, Applicants), both noncarriers, filed an application to acquire control of an interstate passenger motor carrier, Butler's Bus Service, Inc. (BBS), from its...",,"Comments must be filed by December 30, 2024. If any comments are filed, Van Pool may file a reply by January 14, 2025. If no opposing comments are filed by December 30, 2024, this notice shall be effective on December 31, 2024.",2,90340,90341,,Surface Transportation Board,481,https://www.federalregister.gov/agencies/surface-transportation-board,None,surface-transportation-board,,
"Product Change-Priority Mail Express, Priority Mail, and USPS Ground Advantage® Negotiated Service Agreement",2024-26615,Notice.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26615.pdf,The Postal Service gives notice of filing a request with the Postal Regulatory Commission to add a domestic shipping services contract to the list of Negotiated Service Agreements in the Mail Classification Schedule's Competitive Products List.,The Postal Service gives notice of filing a request with the Postal Regulatory Commission to add a domestic shipping services contract to the list of Negotiated Service Agreements in the Mail Classification Schedule's Competitive Products List.,,"Date of required notice: November 15, 2024.",1,90336,90336,,Postal Service,410,https://www.federalregister.gov/agencies/postal-service,None,postal-service,,
