document_title,document_number,action,publication_date,pdf_url,abstract,excerpts,topics,dates,page_length,start_page,end_page,significant,agency_names,agency_ids,agency_urls,agency_parent_ids,agency_slugs,cfr_titles,cfr_parts
"Multilayered Wood Flooring From the People's Republic of China: Preliminary Results of the Antidumping Duty Administrative Review, Preliminary Determination of No Shipments, and Rescission of Review, in Part; 2021-2022",2023-28782,,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28782.pdf,"The U.S. Department of Commerce (Commerce) preliminarily determines that Jiangsu Senmao Bamboo and Wood Industry Co., Ltd. (Senmao) did not make sales of subject merchandise at less than normal value (NV), and that certain companies had no shipments of subject merchandise during the period of review (POR) December 1, 2021, through November 30, 2022. In addition, we are rescinding the review with respect to one company. We invite interested parties to comment on these preliminary results.","The U.S. Department of Commerce (Commerce) preliminarily determines that Jiangsu Senmao Bamboo and Wood Industry Co., Ltd. (Senmao) did not make sales of subject merchandise at less than normal value (NV), and that certain companies had no shipments of...",,"Applicable December 29, 2023.",4,90164,90167,,"Commerce Department, International Trade Administration","54, 261","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/international-trade-administration","None, 54","commerce-department, international-trade-administration",,
Citric Acid and Certain Citrate Salts From Belgium: Final Results of Antidumping Duty Administrative Review; 2021-2022,2023-28783,,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28783.pdf,"The U.S. Department of Commerce (Commerce) determines that Citribel nv. (Citribel), a producer/exporter subject to this administrative review, made sales of citric acid and certain citrate salts (citric acid) from Belgium at less than normal value. The period of review (POR) is July 1, 2021, through June 30, 2022.","The U.S. Department of Commerce (Commerce) determines that Citribel nv. (Citribel), a producer/exporter subject to this administrative review, made sales of citric acid and certain citrate salts (citric acid) from Belgium at less than normal value. The...",,"Applicable December 29, 2023.",2,90167,90168,,"Commerce Department, International Trade Administration","54, 261","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/international-trade-administration","None, 54","commerce-department, international-trade-administration",,
Initiation of Antidumping and Countervailing Duty Administrative Reviews,2023-28781,,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28781.pdf,"The U.S. Department of Commerce (Commerce) has received requests to conduct administrative reviews of various antidumping duty (AD) and countervailing duty (CVD) orders with November anniversary dates. In accordance with Commerce's regulations, we are initiating those administrative reviews.","The U.S. Department of Commerce (Commerce) has received requests to conduct administrative reviews of various antidumping duty (AD) and countervailing duty (CVD) orders with November anniversary dates. In accordance with Commerce's regulations, we are...",,"Applicable December 29, 2023.",7,90168,90174,,"Commerce Department, International Trade Administration","54, 261","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/international-trade-administration","None, 54","commerce-department, international-trade-administration",,
Assessment Development Committee Meeting,2023-28789,Notice of open meeting.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28789.pdf,"This notice sets forth the agenda, time, and instructions to access the National Assessment Governing Board's (hereafter referred to as Governing Board or Board) special meeting of the Assessment Development Committee. This notice provides information about the meeting to members of the public who may be interested in attending the meeting and/or providing written comments related to the work of the Governing Board. The meeting will be held virtually, as noted below. Members of the public must request registration information by sending an email to nagb@ed.gov no later than two business days prior to the meeting.","This notice sets forth the agenda, time, and instructions to access the National Assessment Governing Board's (hereafter referred to as Governing Board or Board) special meeting of the Assessment Development Committee. This notice provides information...",,The Assessment Development Committee meeting will be held on the following date:,2,90174,90175,,"Education Department, National Assessment Governing Board","126, 600","https://www.federalregister.gov/agencies/education-department, https://www.federalregister.gov/agencies/national-assessment-governing-board","None, 126","education-department, national-assessment-governing-board",,
National Advisory Council on Indian Education (NACIE); Meeting,2023-28644,Notice of an open meeting.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28644.pdf,"This notice sets forth the agenda, time, and instructions to access or participate in the January 24-25, 2024, virtual meeting of NACIE. This notice provides information about the meeting to members of the public who may be interested in attending and how to provide written and/or oral comment for the meeting.","This notice sets forth the agenda, time, and instructions to access or participate in the January 24-25, 2024, virtual meeting of NACIE. This notice provides information about the meeting to members of the public who may be interested in attending and...",,"The NACIE open virtual meeting will be held on January 24-25, 2024, from 1-4:30 p.m. (EST).",2,90175,90176,,Education Department,126,https://www.federalregister.gov/agencies/education-department,None,education-department,,
National Advisory Committee on Institutional Quality and Integrity; Membership,2023-28648,Notice of membership.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28648.pdf,This notice lists the members of the National Advisory Committee on Institutional Quality and Integrity (NACIQI).,This notice lists the members of the National Advisory Committee on Institutional Quality and Integrity (NACIQI).,,,2,90176,90177,,Education Department,126,https://www.federalregister.gov/agencies/education-department,None,education-department,,
Eastern Shore Natural Gas Company; Notice of Schedule for the Preparation of an Environmental Assessment for the Worcester Resiliency Upgrade Project,2023-28754,,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28754.pdf,,,,,2,90177,90178,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
Combined Notice of Filings,2023-28759,,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28759.pdf,,,,12/21/23.,2,90178,90179,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
Appalachian Power Company; Notice of Intent To Prepare an Environmental Assessment,2023-28758,,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28758.pdf,,,,,1,90179,90179,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
Combined Notice of Filings #1,2023-28755,,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28755.pdf,,,,12/20/23.,2,90179,90180,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
"Yellowbud Solar, LLC; Notice of Institution of Section 206 Proceeding and Refund Effective Date",2023-28761,,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28761.pdf,,,,,2,90180,90181,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
"Clothianidin; Receipt of Application for Emergency Exemption, Solicitation of Public Comment",2023-28772,Notice.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28772.pdf,"EPA has received a specific exemption request from the Florida Department of Agriculture and Consumer Services (FDACS) to use the insecticide clothianidin (CAS No. 210-880-92-5) as a soil drench application to treat up to 125,376 acres of immature (3-5 years old) citrus trees to control the transmission of Huanglongbing (HLB) disease vectored by the Asian Citrus Psyllid (ACP). The applicant proposes a use that has been requested in 5 or more previous years. Therefore, EPA is soliciting public comment before making the decision whether or not to grant the exemption.","EPA has received a specific exemption request from the Florida Department of Agriculture and Consumer Services (FDACS) to use the insecticide clothianidin (CAS No. 210-880-92-5) as a soil drench application to treat up to 125,376 acres of immature (3-5...",,"Comments must be received on or before January 16, 2024.",2,90181,90182,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,,
Availability of the BMD Model Code and BMD Modeling Output Files for the Draft IRIS Toxicological Review of Inorganic Arsenic; Notice of Comment Period,2023-28766,Notice of public comment period,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28766.pdf,"The Environmental Protection Agency (EPA) is announcing a public comment period on the benchmark dose (BMD) model code and BMD modeling output files associated with the Draft IRIS Toxicological Review of Inorganic Arsenic. The original Federal Register notice associated with the draft IRIS inorganic arsenic assessment was published on October 16, 2023, and closed on December 15, 2023. After reviewing the comments received on the draft assessment, EPA is opening an additional public comment period on the BMD model code and the BMD modeling output files that were not accessible by the public during the original comment period due to a technical issue. For submissions received during this public comment period, EPA will only address comments on the BMD model code and BMD modeling output files, which are available at: https://gaftp.epa.gov/EPADataCommons/ORD/ DRAFTiAsToxReview/.",The Environmental Protection Agency (EPA) is announcing a public comment period on the benchmark dose (BMD) model code and BMD modeling output files associated with the Draft IRIS Toxicological Review of Inorganic Arsenic. The original Federal Register...,,"The 15-day public comment period begins December 29, 2023 and ends January 16, 2024. Comments must be received on or before January 16, 2024.",2,90182,90183,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,,
Environmental Impact Statements; Notice of Availability,2023-28749,,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28749.pdf,,,,,1,90183,90183,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,,
Agency Information Collection Activities: Submission for OMB Review; Comment Request,2023-28790,Notice.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28790.pdf,"The Centers for Medicare & Medicaid Services (CMS) is announcing an opportunity for the public to comment on CMS' intention to collect information from the public. Under the Paperwork Reduction Act of 1995 (PRA), Federal agencies are required to publish notice in the Federal Register concerning each proposed collection of information, including each proposed extension or reinstatement of an existing collection of information, and to allow a second opportunity for public comment on the notice. Interested persons are invited to send comments regarding the burden estimate or any other aspect of this collection of information, including the necessity and utility of the proposed information collection for the proper performance of the agency's functions, the accuracy of the estimated burden, ways to enhance the quality, utility, and clarity of the information to be collected, and the use of automated collection techniques or other forms of information technology to minimize the information collection burden.","The Centers for Medicare & Medicaid Services (CMS) is announcing an opportunity for the public to comment on CMS' intention to collect information from the public. Under the Paperwork Reduction Act of 1995 (PRA), Federal agencies are required to...",,"Comments on the collection(s) of information must be received by the OMB desk officer by January 29, 2024.",2,90188,90189,,"Health and Human Services Department, Centers for Medicare & Medicaid Services","221, 45","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services","None, 221","health-and-human-services-department, centers-for-medicare-medicaid-services",,
Announcement of the Advisory Panel on Outreach and Education (APOE) Virtual Meeting,2023-28791,Notice.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28791.pdf,"This notice announces the next meeting of the APOE (the Panel) in accordance with the Federal Advisory Committee Act. The Panel advises and makes recommendations to the Secretary of the U.S. Department of Health and Human Services (HHS) (the Secretary) and the Administrator of the Centers for Medicare & Medicaid Services (CMS) on opportunities to enhance the effectiveness of consumer education strategies concerning the Health Insurance Marketplace[supreg], Medicare, Medicaid, and the Children's Health Insurance Program (CHIP). This meeting is open to the public.",This notice announces the next meeting of the APOE (the Panel) in accordance with the Federal Advisory Committee Act. The Panel advises and makes recommendations to the Secretary of the U.S. Department of Health and Human Services (HHS) (the Secretary)...,,"Meeting Date: Thursday, February 1, 2024 from 12 p.m. to 5 p.m. eastern standard time (e.s.t).",2,90189,90190,,"Health and Human Services Department, Centers for Medicare & Medicaid Services","221, 45","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services","None, 221","health-and-human-services-department, centers-for-medicare-medicaid-services",,
"Agency Information Collection Activities: Proposed Collection: Public Comment Request; Information Collection Request Title: National Health Service Corps Scholar/Students to Service Travel Worksheet, OMB No. 0915-0278-Revision",2023-28768,Notice.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28768.pdf,"In compliance with the requirement for opportunity for public comment on proposed data collection projects of the Paperwork Reduction Act of 1995, HRSA announces plans to submit an Information Collection Request (ICR), described below, to the Office of Management and Budget (OMB). Prior to submitting the ICR to OMB, HRSA seeks comments from the public regarding the burden estimate, below, or any other aspect of the ICR.","In compliance with the requirement for opportunity for public comment on proposed data collection projects of the Paperwork Reduction Act of 1995, HRSA announces plans to submit an Information Collection Request (ICR), described below, to the Office of...",,"Comments on this ICR should be received no later than February 27, 2024.",2,90190,90191,,"Health and Human Services Department, Health Resources and Services Administration","221, 222","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/health-resources-and-services-administration","None, 221","health-and-human-services-department, health-resources-and-services-administration",,
Center for Scientific Review; Notice of Closed Meeting,2023-28722,,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28722.pdf,,,,"January 10, 2024.",1,90191,90191,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
National Institute on Drug Abuse; Notice of Closed Meetings,2023-28788,,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28788.pdf,,,,"February 14, 2024.",2,90191,90192,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
Center for Scientific Review; Notice of Closed Meetings,2023-28723,,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28723.pdf,,,,"January 25-26, 2024.",1,90192,90192,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
National Chemical Transportation Safety Advisory Committee; January 2024 Meeting,2023-28753,Notice of open Federal advisory committee meeting.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28753.pdf,"The National Chemical Transportation Safety Advisory Committee (Committee) will conduct a series of subcommittee meetings over two days in League City, TX, and a full committee meeting in Texas City, TX to discuss matters relating to the safe and secure marine transportation of hazardous materials. The subcommittee meetings will also be available by videoconference for those unable to attend in person, however the full committee meeting will be held in person only. All meetings will be open to the public.","The National Chemical Transportation Safety Advisory Committee (Committee) will conduct a series of subcommittee meetings over two days in League City, TX, and a full committee meeting in Texas City, TX to discuss matters relating to the safe and...",,"Meetings: National Chemical Transportation Safety Advisory Committee subcommittees will meet on Tuesday, January 30 and Wednesday, January 31, 2024, from 9 a.m. to 5 p.m. Central Standard Time (CST) each day. The full Committee will meet on Thursday, February 1, 2024, from 9 a.m. until 5 p.m. CST. Please note these meetings may close early if the Committee has completed its business.",2,90192,90193,,"Homeland Security Department, Coast Guard","227, 53","https://www.federalregister.gov/agencies/homeland-security-department, https://www.federalregister.gov/agencies/coast-guard","None, 227","homeland-security-department, coast-guard",,
Technical Mapping Advisory Council; Meeting,2023-28747,Notice of Federal advisory committee meeting.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28747.pdf,"The Federal Emergency Management Agency (FEMA) Technical Mapping Advisory Council (TMAC) will hold a virtual public meeting on Tuesday, January 23, 2024, and Wednesday, January 24, 2024. The meeting will be open to the public via a Microsoft Teams Video Communications link.","The Federal Emergency Management Agency (FEMA) Technical Mapping Advisory Council (TMAC) will hold a virtual public meeting on Tuesday, January 23, 2024, and Wednesday, January 24, 2024. The meeting will be open to the public via a Microsoft Teams...",,"The TMAC will meet on Tuesday, January 23, 2024, and Wednesday, January 24, 2024, from 8 a.m. to 5 p.m. eastern standard time (EST). Please note that the meeting will close early if the TMAC has completed its business.",1,90194,90194,,"Homeland Security Department, Federal Emergency Management Agency","227, 166","https://www.federalregister.gov/agencies/homeland-security-department, https://www.federalregister.gov/agencies/federal-emergency-management-agency","None, 227","homeland-security-department, federal-emergency-management-agency",,
Technical Mapping Advisory Council; Meeting,2023-28748,Notice of open Federal advisory committee meeting.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28748.pdf,"The Federal Emergency Management Agency (FEMA) Technical Mapping Advisory Council (TMAC) will hold an in-person public meeting with a virtual option on Tuesday, February 27, 2024, and Wednesday, February 28, 2024. The meeting will be open to the public in-person and via a Microsoft Teams Video Communications link.","The Federal Emergency Management Agency (FEMA) Technical Mapping Advisory Council (TMAC) will hold an in-person public meeting with a virtual option on Tuesday, February 27, 2024, and Wednesday, February 28, 2024. The meeting will be open to the public...",,"The TMAC will meet on Tuesday, February 27, 2024, and Wednesday, February 28, 2024, from 8 a.m. to 5 p.m. eastern standard time (EST). Please note that the meeting will close early if the TMAC has completed its business.",2,90194,90195,,"Homeland Security Department, Federal Emergency Management Agency","227, 166","https://www.federalregister.gov/agencies/homeland-security-department, https://www.federalregister.gov/agencies/federal-emergency-management-agency","None, 227","homeland-security-department, federal-emergency-management-agency",,
