document_title,document_number,action,publication_date,pdf_url,abstract,excerpts,topics,dates,page_length,start_page,end_page,significant,agency_names,agency_ids,agency_urls,agency_parent_ids,agency_slugs,cfr_titles,cfr_parts
Directive Publication Notice,2022-28431,Notice.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28431.pdf,"The Forest Service, U.S. Department of Agriculture, provides direction to employees through issuances in its Directive System, comprised of the Forest Service Manual and Forest Service Handbooks. The Agency must provide public notice of and opportunity to comment on any directives that formulate standards, criteria, or guidelines applicable to Forest Service programs. Once per quarter, the Agency provides advance notice of proposed and interim directives that will be made available for public comment during the next three months and notice of final directives issued in the last three months.","The Forest Service, U.S. Department of Agriculture, provides direction to employees through issuances in its Directive System, comprised of the Forest Service Manual and Forest Service Handbooks. The Agency must provide public notice of and opportunity...",,"This notice identifies proposed and interim directives that will be published for public comment between January 1, 2023, and March 31, 2023; proposed and interim directives that were previously published for public comment but not yet finalized and issued; and final directives that have been issued since October 1, 2022.",2,80522,80523,,"Agriculture Department, Forest Service","12, 209","https://www.federalregister.gov/agencies/agriculture-department, https://www.federalregister.gov/agencies/forest-service","None, 12","agriculture-department, forest-service",,
Southwest Montana Resource Advisory Committee,2022-28412,Notice of meeting.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28412.pdf,"The Southwest Montana Resource Advisory Committee (RAC) will have a hybrid meeting, with the option to attend virtually or in- person. The committee is authorized under the Secure Rural Schools and Community Self-Determination Act (the Act) and operates in compliance with the Federal Advisory Committee Act. The purpose of the committee is to improve collaborative relationships and to provide advice and recommendations to the Forest Service concerning projects and funding consistent with Title II of the Act. RAC information and virtual meeting information can be found at the following website: https:// www.fs.usda.gov/main/bdnf/workingtogether/advisorycommittees.","The Southwest Montana Resource Advisory Committee (RAC) will have a hybrid meeting, with the option to attend virtually or in- person. The committee is authorized under the Secure Rural Schools and Community Self-Determination Act (the Act) and...",,"The meeting will be held on Thursday, February 2nd, 2023 beginning at 8:30 a.m. Mountain Standard Time. All RAC meetings are subject to cancellation.",2,80523,80524,,"Agriculture Department, Forest Service","12, 209","https://www.federalregister.gov/agencies/agriculture-department, https://www.federalregister.gov/agencies/forest-service","None, 12","agriculture-department, forest-service",,
"Circular Welded Carbon-Quality Steel Pipe From Oman, Pakistan, and the United Arab Emirates: Continuation of Antidumping Duty Orders",2022-28406,,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28406.pdf,"As a result of the determinations by the U.S. Department of Commerce (Commerce) and the U.S. International Trade Commission (ITC) that revocation of the antidumping duty (AD) orders on circular welded carbon-quality steel pipe (CWP) from Oman, Pakistan, and the United Arab Emirates (UAE) would likely lead to a continuation or recurrence of dumping and material injury to an industry in the United States, Commerce is publishing a notice of continuation of the AD orders.","As a result of the determinations by the U.S. Department of Commerce (Commerce) and the U.S. International Trade Commission (ITC) that revocation of the antidumping duty (AD) orders on circular welded carbon-quality steel pipe (CWP) from Oman,...",,"Applicable December 30, 2022.",2,80524,80525,,"Commerce Department, International Trade Administration","54, 261","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/international-trade-administration","None, 54","commerce-department, international-trade-administration",,
North Pacific Fishery Management Council; Public Meeting,2022-28464,Notice of hybrid meeting.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28464.pdf,"The North Pacific Fishery Management Council (Council) Crab Plan Team will meet January 17, 2023, to January 20, 2023.","The North Pacific Fishery Management Council (Council) Crab Plan Team will meet January 17, 2023, to January 20, 2023.",,"The meeting will be held on Tuesday, January 17, 2023, through Friday, January 20, 2023, from 8:30 a.m. to 4:30 p.m. AK time.",2,80525,80526,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",,
Marine Mammals; File No. 27079,2022-28444,Notice; receipt of application.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28444.pdf,"Notice is hereby given that Cantata Bio, 100 Enterprise Way, Suite A10, Scotts Valley, CA 95066 (Responsible Party: Jordan Zhang), has applied in due form for a permit to import a specimen from a humpback whale (Megaptera novaeangliae) for scientific research.","Notice is hereby given that Cantata Bio, 100 Enterprise Way, Suite A10, Scotts Valley, CA 95066 (Responsible Party: Jordan Zhang), has applied in due form for a permit to import a specimen from a humpback whale (Megaptera novaeangliae) for scientific...",,"Written, telefaxed, or email comments must be received on or before January 30, 2023.",1,80526,80526,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",,
North Pacific Fishery Management Council; Public Meeting,2022-28463,Notice of hybrid meeting.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28463.pdf,"The North Pacific Fishery Management Council (NPFMC) Ecosystem Committee will meet January 18, 2023 through January 19, 2023.","The North Pacific Fishery Management Council (NPFMC) Ecosystem Committee will meet January 18, 2023 through January 19, 2023.",,"The meeting will be held on Wednesday, January 18, 2023, from 9 a.m. to 5 p.m. and on Thursday, January 19, 2023, from 9 a.m. to 12 p.m., Alaska Time.",2,80526,80527,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",,
Marine Mammals; File No. 24378,2022-28443,Notice; receipt of application for permit amendment.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28443.pdf,"Notice is hereby given that The University of Alaska Southeast, 1332 Seward Ave, Sitka, AK 99835 (Responsible Party: Jan Straley), has applied for an amendment to scientific research Permit No. 24378.","Notice is hereby given that The University of Alaska Southeast, 1332 Seward Ave, Sitka, AK 99835 (Responsible Party: Jan Straley), has applied for an amendment to scientific research Permit No. 24378.",,"Written, telefaxed, or email comments must be received on or before January 30, 2023.",1,80527,80527,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",,
"Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Build America, Buy America Act (BABAA) Domestic Sourcing Requirements Waiver-United States Department of Education BABAA Waiver Request Form",2022-28450,Notice.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28450.pdf,"In accordance with the Paperwork Reduction Act (PRA) of 1995, the Department is proposing an extension without change of a currently approved information collection request (ICR).","In accordance with the Paperwork Reduction Act (PRA) of 1995, the Department is proposing an extension without change of a currently approved information collection request (ICR).",,"Interested persons are invited to submit comments on or before January 30, 2023.",2,80527,80528,,Education Department,126,https://www.federalregister.gov/agencies/education-department,None,education-department,,
Commission Information Collection Activities (FERC-915) Comment Request; Extension,2022-28455,Notice of information collection and request for comments.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28455.pdf,"In compliance with the requirements of the Paperwork Reduction Act of 1995, the Federal Energy Regulatory Commission, FERC-915 (Public Utility Market-Based Rate Authorization Holders--Records Retention Requirements), will be submitted to the Office of Management and Budget (OMB) for review. No Comments were received on the 60-day notice published on October 6, 2022.","In compliance with the requirements of the Paperwork Reduction Act of 1995, the Federal Energy Regulatory Commission, FERC-915 (Public Utility Market-Based Rate Authorization Holders--Records Retention Requirements), will be submitted to the Office of...",,"Comments on the collection of information are due January 30, 2023.",2,80528,80529,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
Combined Notice of Filings,2022-28452,,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28452.pdf,,,,12/21/22.,2,80529,80530,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
"Texas Eastern Transmission, LP; Notice of Request Under Blanket Authorization and Establishing Intervention and Protest Deadline",2022-28456,,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28456.pdf,,,,,3,80530,80532,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
Combined Notice of Filings #1,2022-28453,,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28453.pdf,,,,12/19/22.,2,80532,80533,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
Transmission Planning and Cost Management; Joint Federal-State Task Force on Electric Transmission; Notice Inviting Post-Technical Conference Comments,2022-28454,,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28454.pdf,,,,,5,80533,80537,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
Environmental Impact Statements; Notice of Availability,2022-28438,,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28438.pdf,,,,,1,80537,80537,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,,
Patient Safety Organizations: Voluntary Relinquishment for the Zephcare PSO,2022-28432,Notice of delisting.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28432.pdf,"The Patient Safety and Quality Improvement Final Rule (Patient Safety Rule) authorizes AHRQ, on behalf of the Secretary of HHS, to list as a patient safety organization (PSO) an entity that attests that it meets the statutory and regulatory requirements for listing. A PSO can be ""delisted"" by the Secretary if it is found to no longer meet the requirements of the Patient Safety and Quality Improvement Act of 2005 (Patient Safety Act) and Patient Safety Rule, when a PSO chooses to voluntarily relinquish its status as a PSO for any reason, or when a PSO's listing expires. AHRQ accepted a notification of proposed voluntary relinquishment from the Zephcare PSO, PSO number P0200, of its status as a PSO, and has delisted the PSO accordingly.","The Patient Safety and Quality Improvement Final Rule (Patient Safety Rule) authorizes AHRQ, on behalf of the Secretary of HHS, to list as a patient safety organization (PSO) an entity that attests that it meets the statutory and regulatory...",,"The delisting was effective at 12:00 Midnight ET (2400) on December 8, 2022.",2,80537,80538,,"Health and Human Services Department, Agency for Healthcare Research and Quality","221, 5","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/agency-for-healthcare-research-and-quality","None, 221","health-and-human-services-department, agency-for-healthcare-research-and-quality",,
Solicitation for Nominations for Members of the U.S. Preventive Services Task Force (USPSTF),2022-28469,Solicits nominations for new members of the USPSTF.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28469.pdf,The Agency for Healthcare Research and Quality (AHRQ) invites nominations of individuals qualified to serve as members of the U.S. Preventive Services Task Force (USPSTF).,The Agency for Healthcare Research and Quality (AHRQ) invites nominations of individuals qualified to serve as members of the U.S. Preventive Services Task Force (USPSTF).,,Nominations must be received electronically by March 15th of a given year to be considered for appointment to begin in January of the following year.,2,80538,80539,,"Health and Human Services Department, Agency for Healthcare Research and Quality","221, 5","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/agency-for-healthcare-research-and-quality","None, 221","health-and-human-services-department, agency-for-healthcare-research-and-quality",,
Agency Information Collection Activities: Submission for OMB Review; Comment Request,2022-28466,Notice.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28466.pdf,"The Centers for Medicare & Medicaid Services (CMS) is announcing an opportunity for the public to comment on CMS' intention to collect information from the public. Under the Paperwork Reduction Act of 1995 (PRA), federal agencies are required to publish notice in the Federal Register concerning each proposed collection of information, including each proposed extension or reinstatement of an existing collection of information, and to allow a second opportunity for public comment on the notice. Interested persons are invited to send comments regarding the burden estimate or any other aspect of this collection of information, including the necessity and utility of the proposed information collection for the proper performance of the agency's functions, the accuracy of the estimated burden, ways to enhance the quality, utility, and clarity of the information to be collected, and the use of automated collection techniques or other forms of information technology to minimize the information collection burden.","The Centers for Medicare & Medicaid Services (CMS) is announcing an opportunity for the public to comment on CMS' intention to collect information from the public. Under the Paperwork Reduction Act of 1995 (PRA), federal agencies are required to...",,"Comments on the collection(s) of information must be received by the OMB desk officer by January 30, 2023.",2,80539,80540,,"Health and Human Services Department, Centers for Medicare & Medicaid Services","221, 45","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services","None, 221","health-and-human-services-department, centers-for-medicare-medicaid-services",,
"Submission for Office of Management and Budget Review; Tribal Maternal, Infant, and Early Childhood Home Visiting Program: Guidance for Submitting an Annual Report to the Secretary (Office of Management and Budget #0970-0409)",2022-28427,Request for public comments.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28427.pdf,"The Administration for Children and Families (ACF), Office of Early Childhood Development (ECD) is requesting revisions to the Tribal Maternal, Infant, and Early Childhood Home Visiting Program (Tribal MIECHV) Guidance for Submitting Reports to the Secretary (Office of Management and Budget (OMB) #0970-0409; expiration September 30, 2024). Guidance under this OMB number includes that for an annual report and that for a final report. This request is for review of the final report guidance. There are no changes proposed to the guidance for the annual report.","The Administration for Children and Families (ACF), Office of Early Childhood Development (ECD) is requesting revisions to the Tribal Maternal, Infant, and Early Childhood Home Visiting Program (Tribal MIECHV) Guidance for Submitting Reports to the...",,"Comments due within 30 days of publication. OMB must make a decision about the collection of information between 30 and 60 days after publication of this document in the Federal Register. Therefore, a comment is best assured of having its full effect if OMB receives it within 30 days of publication.",2,80540,80541,,"Health and Human Services Department, Children and Families Administration","221, 49","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/children-and-families-administration","None, 221","health-and-human-services-department, children-and-families-administration",,
"Submission for OMB Review; Temporary Assistance for Needy Families (TANF) Financial Report, ACF-196T (OMB #0970-0345)",2022-28423,Request for public comments.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28423.pdf,"The Administration for Children and Families (ACF) is requesting a 3-year extension of the Temporary Assistance for Needy Families (TANF) Financial Report, Form ACF-196T (Office of Management and Budget (OMB) #0970-0345, expiration April 30, 2023). ACF is proposing minor updates to the form to remove a reporting line-item reference that was associated with an expired program expenditure and minor edits to the instructions and formatting to better the presentation of the document.","The Administration for Children and Families (ACF) is requesting a 3-year extension of the Temporary Assistance for Needy Families (TANF) Financial Report, Form ACF-196T (Office of Management and Budget (OMB) #0970-0345, expiration April 30, 2023). ACF...",,"Comments due within 30 days of publication. OMB must make a decision about the collection of information between 30 and 60 days after publication of this document in the Federal Register. Therefore, a comment is best assured of having its full effect if OMB receives it within 30 days of publication.",2,80541,80542,,"Health and Human Services Department, Children and Families Administration","221, 49","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/children-and-families-administration","None, 221","health-and-human-services-department, children-and-families-administration",,
