document_title,document_number,action,publication_date,pdf_url,abstract,excerpts,topics,dates,page_length,start_page,end_page,significant,agency_names,agency_ids,agency_urls,agency_parent_ids,agency_slugs,cfr_titles,cfr_parts
Copyright Claims Board: Representation by Law Students and of Business Entities,2021-28154,Notice of proposed rulemaking.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28154.pdf,The U.S. Copyright Office is issuing a notice of proposed rulemaking to establish procedures governing the appearance of law student representatives and employees of business entities in proceedings before the Copyright Claims Board.,The U.S. Copyright Office is issuing a notice of proposed rulemaking to establish procedures governing the appearance of law student representatives and employees of business entities in proceedings before the Copyright Claims Board.,"Claims, Copyright","Initial written comments must be received no later than 11:59 p.m. EDT on February 3, 2022. Written reply comments must be received no later than 11:59 p.m. EDT on February 18, 2022.",5,74394,74398,,"Library of Congress, Copyright Office, Library of Congress","277, 87","https://www.federalregister.gov/agencies/library-of-congress, https://www.federalregister.gov/agencies/copyright-office-library-of-congress","None, 277","library-of-congress, copyright-office-library-of-congress","37, 37, 37","201, 232, 234"
Advanced Methods To Target and Eliminate Unlawful Robocalls-Petition for Reconsideration and Request for Clarification of USTelecom-The Broadband Association,2021-28218,Proposed rule.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28218.pdf,"In this document, the Federal Communications Commission (FCC or Commission) seeks comment on whether and how to transition away from the use of Session Initiation Protocol (SIP) Code 603 for purposes of the immediate notification of call blocking requirement and toward full implementation of SIP Codes 607 and 608. The Commission also seeks comment on any potential costs and benefits associated with phasing out SIP Code 603 for purposes of the immediate notification requirement, and the burden, if any, on small businesses.","In this document, the Federal Communications Commission (FCC or Commission) seeks comment on whether and how to transition away from the use of Session Initiation Protocol (SIP) Code 603 for purposes of the immediate notification of call blocking...",,"Comments are due on or before January 31, 2022 and reply comments are due on or before February 14, 2022.",2,74399,74400,,Federal Communications Commission,161,https://www.federalregister.gov/agencies/federal-communications-commission,None,federal-communications-commission,"47, 47","0, 64"
Petition for Reconsideration of Action in Rulemaking Proceeding,2021-28295,Petition for Reconsideration.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28295.pdf,"Petition for Reconsideration (Petition) has been filed in the Commission's rulemaking proceeding by Carri Bennet, on behalf of The Rural Wireless Association, Inc.","Petition for Reconsideration (Petition) has been filed in the Commission's rulemaking proceeding by Carri Bennet, on behalf of The Rural Wireless Association, Inc.",,"Oppositions to the Petition must be filed on or before January 14, 2022. Replies to oppositions must be filed on or before January 24, 2022.",2,74400,74401,,Federal Communications Commission,161,https://www.federalregister.gov/agencies/federal-communications-commission,None,federal-communications-commission,47,1
Media Bureau Extends Comment and Reply Comment Deadlines for FM Directional Antenna NPRM,2021-28288,Notice.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28288.pdf,"In this document, the Commission grants a motion for extension of time in the Updating FM Broadcast Radio Service Directional Antenna Performance Verification proceeding, to extend the comment and reply comment deadlines.","In this document, the Commission grants a motion for extension of time in the Updating FM Broadcast Radio Service Directional Antenna Performance Verification proceeding, to extend the comment and reply comment deadlines.",,"Comments may be filed on or before January 20, 2022, and reply comments may be filed on or before February 4, 2022.",2,74401,74402,,Federal Communications Commission,161,https://www.federalregister.gov/agencies/federal-communications-commission,None,federal-communications-commission,,
Rural Business Center Program,2021-28331,Notice of request for public comments.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28331.pdf,"On November 15, 2021, President Biden signed the Infrastructure Investment and Jobs Act, which included statutory authority within the Minority Business Development Act (the Act) for the Minority Business Development Agency (MBDA) to establish a Rural Business Center Program. MBDA is seeking public comment on various issues related to rural areas and rural minority business enterprises to inform the agency and provide fundamental information regarding this sector of the economy. This notice requests comments on or before January 25, 2022.","On November 15, 2021, President Biden signed the Infrastructure Investment and Jobs Act, which included statutory authority within the Minority Business Development Act (the Act) for the Minority Business Development Agency (MBDA) to establish a Rural...",,"The deadline for filing comments is January 25, 2022.",2,74403,74404,,"Commerce Department, Minority Business Development Agency","54, 291","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/minority-business-development-agency","None, 54","commerce-department, minority-business-development-agency",,
"Fisheries of the Caribbean, Gulf of Mexico, and South Atlantic; Exempted Fishing Permit",2021-28352,Notice of receipt of an application for an exempted fishing permit; request for comments.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28352.pdf,"NMFS announces the receipt of an application for an exempted fishing permit (EFP) from the REEF Environmental Education Foundation (REEF). If granted, the EFP would authorize the deployment of non- containment and spiny lobster traps in the Federal waters of the South Atlantic by research and contracted commercial vessels to target lionfish. The project would seek to determine the effectiveness of these traps for attracting and collecting invasive lionfish while avoiding impacts to non-target species and habitats.","NMFS announces the receipt of an application for an exempted fishing permit (EFP) from the REEF Environmental Education Foundation (REEF). If granted, the EFP would authorize the deployment of non- containment and spiny lobster traps in the Federal...",,"Written comments must be received on or before January 14, 2022.",3,74404,74406,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",,
Extension of the Modified COVID-19 Prioritized Examination Pilot Program,2021-28359,Notice.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28359.pdf,"The United States Patent and Trademark Office (USPTO or Office) is extending the modified COVID-19 Prioritized Examination Pilot Program. Requests that are compliant with the pilot program's requirements and are filed on or before March 31, 2022, will be accepted. The USPTO will evaluate whether to terminate or further extend the program during this extension period.","The United States Patent and Trademark Office (USPTO or Office) is extending the modified COVID-19 Prioritized Examination Pilot Program. Requests that are compliant with the pilot program's requirements and are filed on or before March 31, 2022, will...",,"The COVID-19 Prioritized Examination Pilot Program is extended as of December 30, 2021, to run until March 31, 2022.",1,74406,74406,,"Commerce Department, Patent and Trademark Office","54, 402","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/patent-and-trademark-office","None, 54","commerce-department, patent-and-trademark-office",,
Submission for OMB Review; Comment Request,2021-28366,30-Day information collection notice.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28366.pdf,The Department of Defense has submitted to OMB for clearance the following proposal for collection of information under the provisions of the Paperwork Reduction Act.,The Department of Defense has submitted to OMB for clearance the following proposal for collection of information under the provisions of the Paperwork Reduction Act.,,"Consideration will be given to all comments received by January 31, 2022.",2,74406,74407,,"Defense Department, Army Department","103, 32","https://www.federalregister.gov/agencies/defense-department, https://www.federalregister.gov/agencies/army-department","None, 103","defense-department, army-department",,
Submission for OMB Review; Comment Request,2021-28365,30-Day information collection notice.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28365.pdf,The Department of Defense has submitted to OMB for clearance the following proposal for collection of information under the provisions of the Paperwork Reduction Act.,The Department of Defense has submitted to OMB for clearance the following proposal for collection of information under the provisions of the Paperwork Reduction Act.,,"Consideration will be given to all comments received by January 31, 2022.",1,74407,74407,,"Defense Department, ","103, ","https://www.federalregister.gov/agencies/defense-department, ","None, ","defense-department, ",,
Proposed Collection; Comment Request,2021-28374,Information collection notice.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28374.pdf,"In compliance with the Paperwork Reduction Act of 1995, the Office of the Under Secretary of Defense for Personnel and Readiness announces a proposed public information collection and seeks public comment on the provisions thereof. Comments are invited on: Whether the proposed collection of information is necessary for the proper performance of the functions of the agency, including whether the information shall have practical utility; the accuracy of the agency's estimate of the burden of the proposed information collection; ways to enhance the quality, utility, and clarity of the information to be collected; and ways to minimize the burden of the information collection on respondents, including through the use of automated collection techniques or other forms of information technology.","In compliance with the Paperwork Reduction Act of 1995, the Office of the Under Secretary of Defense for Personnel and Readiness announces a proposed public information collection and seeks public comment on the provisions thereof. Comments are invited...",,"Consideration will be given to all comments received by February 28, 2022.",1,74408,74408,,"Defense Department, ","103, ","https://www.federalregister.gov/agencies/defense-department, ","None, ","defense-department, ",,
Submission for OMB Review; Comment Request,2021-28364,Emergency information collection notice.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28364.pdf,"Consistent with the Paperwork Reduction Act of 1995 and its implementing regulations, this document provides notice DoD is submitting an Information Collection Request to the Office of Management and Budget (OMB) to collect information on barriers and facilitators to minority participation in special operations and other identified units, as congressionally directed in the Fiscal Year (FY) 2021 National Defense Authorization Act (NDAA). DoD requests emergency processing and OMB authorization to collect the information after publication of this Notice for a period of six months.","Consistent with the Paperwork Reduction Act of 1995 and its implementing regulations, this document provides notice DoD is submitting an Information Collection Request to the Office of Management and Budget (OMB) to collect information on barriers and...",,"Comments must be received by January 31, 2022.",2,74408,74409,,"Defense Department, ","103, ","https://www.federalregister.gov/agencies/defense-department, ","None, ","defense-department, ",,
Submission for OMB Review; Comment Request,2021-28367,30-Day information collection notice.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28367.pdf,The Department of Defense has submitted to OMB for clearance the following proposal for collection of information under the provisions of the Paperwork Reduction Act.,The Department of Defense has submitted to OMB for clearance the following proposal for collection of information under the provisions of the Paperwork Reduction Act.,,"Consideration will be given to all comments received by January 31, 2022.",1,74409,74409,,"Defense Department, Navy Department","103, 378","https://www.federalregister.gov/agencies/defense-department, https://www.federalregister.gov/agencies/navy-department","None, 103","defense-department, navy-department",,
Proposed Collection; Comment Request,2021-28368,Information collection notice.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28368.pdf,"In compliance with the Paperwork Reduction Act of 1995, the United States Naval Academy (USNA) announces a proposed public information collection and seeks public comment on the provisions thereof. Comments are invited on: Whether the proposed collection of information is necessary for the proper performance of the functions of the agency, including whether the information shall have practical utility; the accuracy of the agency's estimate of the burden of the proposed information collection; ways to enhance the quality, utility, and clarity of the information to be collected; and ways to minimize the burden of the information collection on respondents, including through the use of automated collection techniques or other forms of information technology.","In compliance with the Paperwork Reduction Act of 1995, the United States Naval Academy (USNA) announces a proposed public information collection and seeks public comment on the provisions thereof. Comments are invited on: Whether the proposed...",,"Consideration will be given to all comments received by February 28, 2022.",1,74410,74410,,"Defense Department, Navy Department","103, 378","https://www.federalregister.gov/agencies/defense-department, https://www.federalregister.gov/agencies/navy-department","None, 103","defense-department, navy-department",,
Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Implementation of Title I/II-A Program Initiatives,2021-28342,Notice.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28342.pdf,"In accordance with the Paperwork Reduction Act of 1995, ED is proposing a new collection.","In accordance with the Paperwork Reduction Act of 1995, ED is proposing a new collection.",,"Interested persons are invited to submit comments on or before January 31, 2022.",2,74410,74411,,Education Department,126,https://www.federalregister.gov/agencies/education-department,None,education-department,,
Combined Notice of Filings #1,2021-28349,,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28349.pdf,,,,12/22/21.,2,74411,74412,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
"Range Resources-Appalachia, LLC v. Texas Eastern Transmission, LP; Notice of Complaint",2021-28350,,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28350.pdf,,,,"5:00 p.m. Eastern Time on January 10, 2022.",1,74412,74412,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
Environmental Impact Statements; Notice of Availability,2021-28344,,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28344.pdf,,,,,1,74412,74412,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,,
Change in Bank Control Notices; Acquisitions of Shares of a Bank or Bank Holding Company,2021-28388,,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28388.pdf,,,,,2,74412,74413,,Federal Reserve System,188,https://www.federalregister.gov/agencies/federal-reserve-system,None,federal-reserve-system,,
Global Partners LP and Richard Wiehl; Analysis of Agreement Containing Consent Order To Aid Public Comment,2021-28345,Proposed consent agreement; request for comment.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28345.pdf,The consent agreement in this matter settles alleged violations of Federal law prohibiting unfair methods of competition. The attached Analysis of Proposed Consent Orders to Aid Public Comment describes both the allegations in the complaint and the terms of the consent orders--embodied in the consent agreement--that would settle these allegations.,The consent agreement in this matter settles alleged violations of Federal law prohibiting unfair methods of competition. The attached Analysis of Proposed Consent Orders to Aid Public Comment describes both the allegations in the complaint and the...,,"Comments must be received on or before January 31, 2022.",3,74413,74415,,Federal Trade Commission,192,https://www.federalregister.gov/agencies/federal-trade-commission,None,federal-trade-commission,,
Agency Information Collection Activities: Submission for OMB Review; Comment Request,2021-28358,Notice.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28358.pdf,"The Centers for Medicare & Medicaid Services (CMS) is announcing an opportunity for the public to comment on CMS' intention to collect information from the public. Under the Paperwork Reduction Act of 1995 (PRA), federal agencies are required to publish notice in the Federal Register concerning each proposed collection of information, including each proposed extension or reinstatement of an existing collection of information, and to allow a second opportunity for public comment on the notice. Interested persons are invited to send comments regarding the burden estimate or any other aspect of this collection of information, including the necessity and utility of the proposed information collection for the proper performance of the agency's functions, the accuracy of the estimated burden, ways to enhance the quality, utility, and clarity of the information to be collected, and the use of automated collection techniques or other forms of information technology to minimize the information collection burden.","The Centers for Medicare & Medicaid Services (CMS) is announcing an opportunity for the public to comment on CMS' intention to collect information from the public. Under the Paperwork Reduction Act of 1995 (PRA), federal agencies are required to...",,"Comments on the collection(s) of information must be received by the OMB desk officer by January 31, 2022.",2,74415,74416,,"Health and Human Services Department, Centers for Medicare & Medicaid Services","221, 45","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services","None, 221","health-and-human-services-department, centers-for-medicare-medicaid-services",,
Notice of Meeting; National Advisory Committee on the Sex Trafficking of Children and Youth in the United States,2021-28360,Announcement of meeting and call for public comment on states' efforts to improve the nation's response to the sex trafficking of children and youth.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28360.pdf,"Notice is hereby given, pursuant to the provisions of the Federal Advisory Committee Act (FACA) and the Preventing Sex Trafficking and Strengthening Families Act, that a meeting of the National Advisory Committee on the Sex Trafficking of Children and Youth in the United States (Committee) will be held on January 6, 2022. The purpose of the meeting is for the Committee to finalize the distribution plan for the Committee's January 2022 report. The members of the Committee request comment from the public to inform their ongoing work. Please submit your comments to NAC@nhttac.org with the subject ""NAC Comments,"" as soon as possible and before January 3, 2022.","Notice is hereby given, pursuant to the provisions of the Federal Advisory Committee Act (FACA) and the Preventing Sex Trafficking and Strengthening Families Act, that a meeting of the National Advisory Committee on the Sex Trafficking of Children and...",,"The meeting will be held on January 6, 2022.",2,74416,74417,,"Health and Human Services Department, Children and Families Administration","221, 49","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/children-and-families-administration","None, 221","health-and-human-services-department, children-and-families-administration",,
Agency Information Collection Activities; Announcement of Office of Management and Budget Approvals,2021-28362,Notice.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28362.pdf,The Food and Drug Administration (FDA) is publishing a list of information collections that have been approved by the Office of Management and Budget (OMB) under the Paperwork Reduction Act of 1995.,The Food and Drug Administration (FDA) is publishing a list of information collections that have been approved by the Office of Management and Budget (OMB) under the Paperwork Reduction Act of 1995.,,,1,74417,74417,,"Health and Human Services Department, Food and Drug Administration","221, 199","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/food-and-drug-administration","None, 221","health-and-human-services-department, food-and-drug-administration",,
