document_title,document_number,action,publication_date,pdf_url,abstract,excerpts,topics,dates,page_length,start_page,end_page,significant,agency_names,agency_ids,agency_urls,agency_parent_ids,agency_slugs,cfr_titles,cfr_parts
"Production Authority Not Approved, Foreign-Trade Zone 8, Arbor Foods Inc. (Blended Syrup), Toledo, Ohio",2020-28976,,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28976.pdf,,,,,1,86903,86903,,"Commerce Department, Foreign-Trade Zones Board","54, 208","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/foreign-trade-zones-board","None, 54","commerce-department, foreign-trade-zones-board",,
"Change in Deadline for Public Comments on Condition of the Public Health Industrial Base and Recommend Policies and Actions To Strengthen the Public Health Industrial Base To Ensure Essential Medicines, Medical Countermeasures, and Critical Inputs Are Made in the United States",2020-29036,Notice on reopening comment period for previously published notice of request for public comments.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-29036.pdf,"On December 2, 2020, the Bureau of Industry and Security (BIS) within the Department of Commerce (Commerce), published the Notice of Request for Public Comments on Condition of the Public Health Industrial Base and Recommend Policies and Actions to Strengthen the Public Health Industrial Base to Ensure Essential Medicines, Medical Countermeasures, and Critical Inputs Are Made in the United States. The December 2 notice invited interested parties to submit written comments, data, analyses, or other information pertinent to the investigation to BIS. The deadline for written comments was December 23, 2020. In response to requests from the public for additional time, this notice reopens the deadline for the submission of public comment until January 15, 2021. Comments previously submitted need not be resubmitted and will be fully considered.","On December 2, 2020, the Bureau of Industry and Security (BIS) within the Department of Commerce (Commerce), published the Notice of Request for Public Comments on Condition of the Public Health Industrial Base and Recommend Policies and Actions to...",,"The comment period for the document published at 85 FR 77428 on December 2, 2020, is reopened. The due date for filing comments is January 15, 2021.",2,86903,86904,,"Commerce Department, Industry and Security Bureau","54, 241","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/industry-and-security-bureau","None, 54","commerce-department, industry-and-security-bureau",,
Final Results of Expedited Sunset Review of Countervailing Duty Order: Prestressed Concrete Steel Wire Strand From the People's Republic of China,2020-28984,,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28984.pdf,"As a result of this second sunset review, the Department of Commerce (Commerce) finds that revocation of the countervailing duty (CVD) order on prestressed concrete steel wire strand (PC strand) from the People's Republic of China (China) would be likely to lead to continuation or recurrence of a countervailable subsidy at the level indicated in the ""Final Results of Review"" section of this notice.","As a result of this second sunset review, the Department of Commerce (Commerce) finds that revocation of the countervailing duty (CVD) order on prestressed concrete steel wire strand (PC strand) from the People's Republic of China (China) would be...",,"Applicable December 31, 2020.",2,86904,86905,,"Commerce Department, International Trade Administration","54, 261","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/international-trade-administration","None, 54","commerce-department, international-trade-administration",,
Diamond Sawblades and Parts Thereof From the People's Republic of China: Final Results of Antidumping Duty Changed Circumstances Review,2020-28980,,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28980.pdf,"On November 20, 2020, the Department of Commerce (Commerce) published the initiation and preliminary results of a changed circumstances review (CCR) of the antidumping duty order on diamond sawblades and parts thereof (diamond sawblades) from the People's Republic of China (China). For these final results, Commerce continues to find that Protech Diamond Tools Inc. (Protech) and Gogo International Inc. (Gogo) are affiliated. Additionally, Commerce continues to find that Protech is eligible to participate in a certification process because Protech has demonstrated that it can identify diamond sawblades that it produced in Canada using non-Chinese cores and Chinese segments.","On November 20, 2020, the Department of Commerce (Commerce) published the initiation and preliminary results of a changed circumstances review (CCR) of the antidumping duty order on diamond sawblades and parts thereof (diamond sawblades) from the...",,"Applicable December 31, 2020.",4,86905,86908,,"Commerce Department, International Trade Administration","54, 261","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/international-trade-administration","None, 54","commerce-department, international-trade-administration",,
Prestressed Concrete Steel Wire Strand From the People's Republic of China: Final Results of the Expedited Second Sunset Review of the Antidumping Duty Order,2020-28979,,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28979.pdf,"The Department of Commerce (Commerce) finds that revocation of the antidumping duty order on prestressed concrete steel wire strand (PC strand) from the People's Republic of China (China) would be likely to lead to continuation or recurrence of dumping at the levels indicated in the ""Final Results of Sunset Review"" section of this notice.",The Department of Commerce (Commerce) finds that revocation of the antidumping duty order on prestressed concrete steel wire strand (PC strand) from the People's Republic of China (China) would be likely to lead to continuation or recurrence of dumping...,,"Applicable December 31, 2020.",2,86908,86909,,"Commerce Department, International Trade Administration","54, 261","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/international-trade-administration","None, 54","commerce-department, international-trade-administration",,
Agency Information Collection Activities; Submission to the Office of Management and Budget (OMB) for Review and Approval; Comment Request; Substantive Submissions Made During Prosecution of the Trademark Application,2020-28991,,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28991.pdf,,,,,2,86909,86910,,"Commerce Department, Patent and Trademark Office","54, 402","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/patent-and-trademark-office","None, 54","commerce-department, patent-and-trademark-office",,
Guiding Principles for Sustainable Federal Buildings and Associated Instructions,2020-28928,Notice of availability.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28928.pdf,"Consistent with Executive Order, ""Efficient Federal Operations,"" and the ""Implementing Instructions for Executive Order 13834 Efficient Federal Operations,"" the Council on Environmental Quality (CEQ) has issued updated guidance to Federal agencies titled, ""Guiding Principles for Sustainable Federal Buildings and Associated Instructions"" (Guidance).","Consistent with Executive Order, ""Efficient Federal Operations,"" and the ""Implementing Instructions for Executive Order 13834 Efficient Federal Operations,"" the Council on Environmental Quality (CEQ) has issued updated guidance to Federal agencies...",,"CEQ issued the Guiding Principles for Sustainable Federal Buildings and Associated Instructions on December 23, 2020.",1,86910,86910,,Council on Environmental Quality,92,https://www.federalregister.gov/agencies/council-on-environmental-quality,538,council-on-environmental-quality,,
Information Collection Requirement; Defense Federal Acquisition Regulation Supplement; Requests for Reimbursement Under Section 3610 of the CARES Act,2020-28965,Notice and request for comments regarding a proposed extension of an approved information collection requirement.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28965.pdf,"In compliance with the Paperwork Reduction Act of 1995, DoD announces the proposed extension of a public information collection requirement and seeks public comment on the provisions thereof. DoD invites comments on: Whether the proposed collection of information is necessary for the proper performance of the functions of DoD, including whether the information will have practical utility; the accuracy of the estimate of the burden of the proposed information collection; ways to enhance the quality, utility, and clarity of the information to be collected; and ways to minimize the burden of the information collection on respondents, including the use of automated collection techniques or other forms of information technology. The Office of Management and Budget (OMB) has approved this information collection requirement for use through February 28, 2021. DoD proposes that OMB extend its approval for use for three additional years beyond the current expiration date.","In compliance with the Paperwork Reduction Act of 1995, DoD announces the proposed extension of a public information collection requirement and seeks public comment on the provisions thereof. DoD invites comments on: Whether the proposed collection of...",,"DoD will consider all comments received by March 1, 2021.",2,86910,86911,,"Defense Department, Defense Acquisition Regulations System","103, 97","https://www.federalregister.gov/agencies/defense-department, https://www.federalregister.gov/agencies/defense-acquisition-regulations-system","None, 103","defense-department, defense-acquisition-regulations-system",,
"Information Collection Requirement; Defense Federal Acquisition Regulation Supplement Part 217, Special Contracting Methods, and Related Clauses at 252.217",2020-28964,Notice and request for comments regarding a proposed extension of an approved information collection requirement.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28964.pdf,"In compliance with the Paperwork Reduction Act of 1995, DoD announces the proposed extension of a public information collection requirement and seeks public comment on the provisions thereof. DoD invites comments on: Whether the proposed collection of information is necessary for the proper performance of the functions of DoD, including whether the information will have practical utility; the accuracy of the estimate of the burden of the proposed information collection; ways to enhance the quality, utility, and clarity of the information to be collected; and ways to minimize the burden of the information collection on respondents, including the use of automated collection techniques or other forms of information technology. The Office of Management and Budget (OMB) has approved this information collection requirement for use through April 30, 2021. DoD proposes that OMB extend its approval for three additional years beyond the current expiration date.","In compliance with the Paperwork Reduction Act of 1995, DoD announces the proposed extension of a public information collection requirement and seeks public comment on the provisions thereof. DoD invites comments on: Whether the proposed collection of...",,"DoD will consider all comments received by March 1, 2021.",2,86911,86912,,"Defense Department, Defense Acquisition Regulations System","103, 97","https://www.federalregister.gov/agencies/defense-department, https://www.federalregister.gov/agencies/defense-acquisition-regulations-system","None, 103","defense-department, defense-acquisition-regulations-system",,
Indiana Crossroads Wind Farm LLC; Supplemental Notice That Initial Market-Based Rate Filing Includes Request for Blanket Section 204 Authorization,2020-28972,,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28972.pdf,,,,,2,86912,86913,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
Combined Notice of Filings #2,2020-28975,,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28975.pdf,,,,12/21/20.,2,86913,86914,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
"ITC Great Plains, LLC; Notice of Refund Report",2020-28974,,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28974.pdf,,,,"5:00 p.m. Eastern time on January 8, 2021.",1,86914,86914,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
Combined Notice of Filings,2020-28970,,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28970.pdf,,,,12/22/20.,1,86914,86914,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
Combined Notice of Filings #1,2020-28973,,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28973.pdf,,,,12/21/20.,2,86915,86916,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
Paulsboro Refining Company LLC; Supplemental Notice That Initial Market-Based Rate Filing Includes Request for Blanket Section 204 Authorization,2020-28977,,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28977.pdf,,,,,1,86916,86916,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
"Powerhouse Systems, Inc.; Notice of Intent To File License Application, Filing of Pre-Application Document, and Approving Use of the Traditional Licensing Process",2020-28969,,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28969.pdf,,,,,2,86916,86917,,"Energy Department, Federal Energy Regulatory Commission","136, 167","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/federal-energy-regulatory-commission","None, 136","energy-department, federal-energy-regulatory-commission",,
"Information Collection Request Submitted to OMB for Review and Approval; Comment Request; Submission of Unreasonable Adverse Effects Information Under the Federal Insecticide, Fungicide, and Rodenticide Act (FIFRA) Section 6(a)(2) (Renewal)",2020-28995,Notice.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28995.pdf,"The Environmental Protection Agency has submitted an information collection request (ICR), Submission of Unreasonable Adverse Effects under FIFRA Section 6(a)(2) (EPA ICR Number 1204.14, OMB Control Number 2070-0039) to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act. This is a proposed extension of the ICR, which is currently approved through February 28, 2021. Public comments were previously requested via the Federal Register on August 17, 2020 during a 60-day comment period. This notice allows for an additional 30 days for public comments. A fuller description of the ICR is given below, including its estimated burden and cost to the public. An agency may not conduct or sponsor and a person is not required to respond to a collection of information unless it displays a currently valid OMB control number.","The Environmental Protection Agency has submitted an information collection request (ICR), Submission of Unreasonable Adverse Effects under FIFRA Section 6(a)(2) (EPA ICR Number 1204.14, OMB Control Number 2070-0039) to the Office of Management and...",,"Additional comments may be submitted on or before February 1, 2021.",1,86917,86917,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,,
Agency Information Collection Activities; Submission to OMB for Review and Approval; Comment Request; Information Requirements for Boilers and Industrial Furnaces (Renewal),2020-28994,Notice.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28994.pdf,"The Environmental Protection Agency (EPA) has submitted an information collection request (ICR), Information Requirements for Boilers and Industrial Furnaces (EPA ICR Number 1361.18, OMB Control Number 2050-0073) to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act. This is a proposed extension of the ICR, which is currently approved through January 31, 2021. Public comments were previously requested via the Federal Register on March 26, 2020 during a 60-day comment period. This notice allows for an additional 30 days for public comments. A fuller description of the ICR is given below, including its estimated burden and cost to the public. An agency may not conduct or sponsor and a person is not required to respond to a collection of information unless it displays a currently valid OMB control number.","The Environmental Protection Agency (EPA) has submitted an information collection request (ICR), Information Requirements for Boilers and Industrial Furnaces (EPA ICR Number 1361.18, OMB Control Number 2050-0073) to the Office of Management and Budget...",,"Additional comments may be submitted on or before February 1, 2021.",2,86917,86918,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,,
Information Collection Request Submitted to OMB for Review and Approval; Comment Request; Effluent Limitation Guidelines and Standards for the Dental Category (Renewal),2020-28998,Notice.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28998.pdf,"The Environmental Protection Agency (EPA) has submitted an information collection request (ICR), Effluent Limitation Guidelines and Standards for the Dental Category (OMB Control Number 2040-0287; EPA ICR Number 2514.03), to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act. This is a proposed extension of the ICR, which is currently approved through November 30, 2020. Public comments were previously requested via the Federal Register on April 30, 2020 during a 60-day comment period. This notice allows for an additional 30 days for public comments. A fuller description of the ICR is provided in the Executive Summary.","The Environmental Protection Agency (EPA) has submitted an information collection request (ICR), Effluent Limitation Guidelines and Standards for the Dental Category (OMB Control Number 2040-0287; EPA ICR Number 2514.03), to the Office of Management...",,"Additional comments may be submitted on or before February 1, 2021.",2,86918,86919,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,,
Environmental Impact Statements; Notice of Availability,2020-28940,,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28940.pdf,,,,,1,86919,86919,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,,
Information Collection Request Submitted to OMB for Review and Approval; Comment Request; Public Health Emergency Workplace Response System (New),2020-28993,Notice.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28993.pdf,"The Environmental Protection Agency (EPA) has submitted an information collection request (ICR), Public Health Emergency Workplace Response System (EPA ICR Number 2676.01, OMB Control Number 2030-NEW) to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act. This is a request for emergency approval of a new collection. A fuller description of the ICR is given below, including its estimated burden and cost to the public. An agency may not conduct or sponsor and a person is not required to respond to a collection of information unless it displays a currently valid OMB control number.","The Environmental Protection Agency (EPA) has submitted an information collection request (ICR), Public Health Emergency Workplace Response System (EPA ICR Number 2676.01, OMB Control Number 2030-NEW) to the Office of Management and Budget (OMB) for...",,,2,86919,86920,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,,
